entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.202,0.1873,0.1311,0.08179,0.04151,0.2172,0.08579,0.01698,0.04639,0.0526,0.04348,0.1427,0.1405,
2.202,0.1934,0.128,0.08129,0.04139,0.2164,0.08526,0.01697,0.04653,0.05282,0.04366,0.1433,0.1444,
2.202,0.2026,0.1264,0.08149,0.04151,0.2156,0.08321,0.017,0.04666,0.05299,0.04379,0.1437,0.1476,
2.203,0.2168,0.1249,0.08166,0.04109,0.2138,0.08342,0.01709,0.04689,0.05325,0.04401,0.1445,0.1494,
2.204,0.1994,0.1302,0.08143,0.04124,0.2128,0.08279,0.01716,0.04709,0.05348,0.04416,0.1451,0.1446,
2.206,0.1627,0.1285,0.08105,0.04139,0.2117,0.08289,0.01724,0.04732,0.05374,0.04438,0.1458,0.146,
2.206,0.1645,0.1261,0.08103,0.04142,0.2115,0.08221,0.01731,0.04751,0.05396,0.04456,0.1464,0.1481,
2.206,0.1706,0.1246,0.08127,0.04153,0.2106,0.08124,0.01733,0.04769,0.05416,0.04472,0.1469,0.1499,
2.205,0.1586,0.1234,0.08049,0.04134,0.2098,0.07967,0.01726,0.04781,0.05432,0.04486,0.1481,0.153,
2.206,0.165,0.1218,0.08027,0.04152,0.2086,0.07989,0.01735,0.04806,0.05459,0.04508,0.1489,0.154,
2.206,0.1614,0.1202,0.07906,0.04156,0.2083,0.08017,0.01741,0.04822,0.05477,0.04523,0.1501,0.1549,
2.207,0.1576,0.1243,0.07891,0.04132,0.2079,0.07986,0.01741,0.04828,0.05484,0.0459,0.1497,0.1516,
2.206,0.147,0.1234,0.07873,0.04132,0.2076,0.07876,0.01741,0.04828,0.05484,0.0459,0.1504,0.1533,
2.206,0.1555,0.1231,0.07873,0.04107,0.2075,0.07823,0.01742,0.04831,0.05487,0.04593,0.1505,0.1543,
2.206,0.1492,0.123,0.07862,0.04072,0.2073,0.07829,0.01743,0.04835,0.05492,0.04597,0.1507,0.1547,
2.206,0.1482,0.1243,0.07833,0.04075,0.2071,0.07818,0.01744,0.04838,0.05498,0.04652,0.1503,0.1537,
2.206,0.1549,0.124,0.07814,0.04026,0.2071,0.07799,0.01745,0.04843,0.05503,0.04657,0.1505,0.1546,
2.205,0.1435,0.1238,0.07812,0.04,0.2069,0.07711,0.01746,0.04846,0.05507,0.0466,0.1506,0.1559,
2.205,0.1431,0.1255,0.07814,0.03976,0.2065,0.07693,0.01747,0.04847,0.05508,0.04695,0.151,0.1542,
2.207,0.1374,0.1259,0.07821,0.0398,0.2059,0.07686,0.01749,0.04853,0.05514,0.04808,0.1501,0.154,
2.208,0.1327,0.1298,0.07819,0.03979,0.2056,0.07651,0.01748,0.04852,0.05513,0.04807,0.1508,0.1501,
2.21,0.1266,0.1315,0.07801,0.03979,0.2052,0.07588,0.01749,0.04852,0.05514,0.05023,0.1494,0.1489,
2.209,0.1455,0.1309,0.07796,0.0396,0.205,0.07499,0.0175,0.04856,0.05518,0.05027,0.1496,0.1504,
2.208,0.1203,0.1306,0.07761,0.03961,0.2041,0.07385,0.0175,0.04857,0.05519,0.05028,0.1511,0.1516,
2.208,0.1841,0.1303,0.07763,0.03928,0.2038,0.07333,0.0175,0.04861,0.05524,0.05033,0.1512,0.1527,
2.208,0.1601,0.1306,0.07752,0.03931,0.2038,0.07338,0.01751,0.04865,0.05528,0.05079,0.1509,0.1523,
2.209,0.1596,0.1338,0.07732,0.03933,0.2034,0.07341,0.01752,0.04867,0.05531,0.0513,0.1512,0.1487,
