entropyInd,
0.12291,
0.11266,
0.11321,
0.13136,
0.11353,
0.11384,
0.10903,
0.14411,
0.10336,
0.10041,
0.10152,
0.10421,
0.10382,
0.1002,
0.10106,
0.10982,
0.10993,
0.11283,
0.11195,
0.11253,
0.11728,
0.10876,
0.10823,
0.10846,
0.10804,
0.11383,
0.11025,
0.11167,
0.11071,
0.11489,
0.11879,
0.13436,
0.14689,
0.12503,
0.12296,
0.12207,
0.12079,
0.11835,
0.11975,
0.1162,
0.12453,
0.11359,
0.1196,
0.11725,
0.12485,
0.12072,
0.11618,
0.10827,
0.1134,
0.1025,
0.13304,
0.10373,
0.10332,
0.09559,
