entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.156,0.1873,0.1662,0.1037,0.05263,0.2754,0.1088,0.02153,0.05883,0.06671,0.05513,0.04549,0.04549,
2.203,0.1953,0.1286,0.08136,0.04166,0.216,0.08556,0.01706,0.04661,0.05285,0.04368,0.1448,0.1418,
2.203,0.1887,0.1275,0.08128,0.04169,0.2152,0.08414,0.0171,0.04673,0.05299,0.04379,0.1459,0.1437,
2.206,0.1742,0.1258,0.08127,0.0418,0.2134,0.08442,0.01716,0.0469,0.05318,0.04508,0.146,0.145,
2.208,0.1777,0.1249,0.08133,0.04172,0.2097,0.08443,0.01726,0.04726,0.05359,0.04543,0.1472,0.1472,
2.21,0.1713,0.1254,0.08144,0.04151,0.2071,0.0838,0.01733,0.04752,0.05388,0.04606,0.1476,0.1483,
2.208,0.1709,0.1239,0.08092,0.04149,0.2061,0.08132,0.0172,0.04757,0.05397,0.04614,0.1501,0.1514,
2.207,0.1714,0.1236,0.08086,0.04075,0.2057,0.08024,0.01722,0.04763,0.05404,0.0462,0.1502,0.1535,
2.206,0.1708,0.1225,0.08076,0.0405,0.205,0.07982,0.0172,0.04759,0.05399,0.04615,0.1516,0.155,
2.206,0.1742,0.1216,0.08088,0.04056,0.2043,0.07929,0.01723,0.04767,0.05408,0.04623,0.1519,0.1562,
2.206,0.1504,0.1208,0.08082,0.04058,0.2037,0.07817,0.01722,0.04768,0.05412,0.04626,0.1527,0.1578,
2.207,0.1646,0.1215,0.08083,0.04023,0.2038,0.07764,0.01722,0.04769,0.05413,0.04847,0.1506,0.158,
2.208,0.1628,0.1238,0.08076,0.04002,0.2035,0.07664,0.0172,0.04768,0.05412,0.04951,0.1502,0.1565,
2.21,0.1428,0.1271,0.0807,0.03999,0.2034,0.07634,0.01719,0.04765,0.05408,0.05091,0.1494,0.1533,
2.212,0.1576,0.1297,0.08069,0.04002,0.2032,0.07544,0.0172,0.04768,0.05412,0.05275,0.1477,0.1515,
2.213,0.1453,0.1293,0.08069,0.03971,0.2031,0.07524,0.01721,0.04771,0.05416,0.05369,0.1469,0.1522,
2.212,0.1531,0.1289,0.08059,0.03972,0.2032,0.07503,0.01722,0.04774,0.05419,0.05372,0.147,0.1528,
2.211,0.1413,0.1362,0.08045,0.0391,0.2029,0.07319,0.01722,0.04773,0.05418,0.05372,0.1477,0.1476,
2.211,0.149,0.1355,0.08033,0.0391,0.2028,0.07319,0.01722,0.04774,0.05418,0.05372,0.1485,0.1478,
2.211,0.148,0.1352,0.08026,0.03907,0.2026,0.07281,0.01721,0.0477,0.05415,0.05368,0.1491,0.1483,
2.209,0.1544,0.1346,0.08013,0.03907,0.2025,0.07107,0.01722,0.04775,0.05419,0.05373,0.1492,0.1506,
2.211,0.1443,0.137,0.08001,0.03884,0.2024,0.07083,0.01724,0.0478,0.05425,0.05582,0.1474,0.1484,
2.211,0.176,0.1362,0.07983,0.03884,0.2023,0.07041,0.01724,0.04781,0.05426,0.05583,0.1481,0.1492,
2.209,0.152,0.1332,0.07957,0.03784,0.202,0.06986,0.01725,0.04781,0.05427,0.05584,0.1489,0.1535,
2.208,0.1345,0.1327,0.07957,0.03788,0.2015,0.0685,0.01725,0.04784,0.05433,0.0559,0.1491,0.1555,
2.207,0.1386,0.1321,0.0796,0.03792,0.201,0.06771,0.01725,0.04788,0.05439,0.05596,0.1492,0.157,
2.207,0.1266,0.1312,0.07959,0.03767,0.2003,0.06773,0.01725,0.04789,0.05441,0.05598,0.15,0.1579,
2.207,0.128,0.1311,0.07944,0.03768,0.1998,0.067,0.01724,0.04787,0.05442,0.05599,0.1508,0.1587,
2.207,0.1241,0.1323,0.07925,0.03735,0.1994,0.06703,0.01724,0.0479,0.05444,0.05623,0.1514,0.1574,
2.207,0.1168,0.1321,0.07921,0.03736,0.1992,0.06709,0.01726,0.04793,0.05449,0.05627,0.1515,0.1576,
2.207,0.1285,0.1314,0.07925,0.03738,0.199,0.06676,0.01727,0.04796,0.05476,0.05606,0.1516,0.1586,
2.207,0.1219,0.1309,0.07948,0.03712,0.199,0.06687,0.01743,0.04772,0.05556,0.05529,0.1516,0.1589,
2.207,0.1224,0.1304,0.07941,0.03727,0.199,0.06684,0.01742,0.0477,0.05646,0.05433,0.1523,0.1588,
2.206,0.1173,0.13,0.07921,0.03738,0.1987,0.06677,0.01712,0.04773,0.05674,0.05374,0.1537,0.159,
2.206,0.1272,0.1291,0.07928,0.03751,0.1989,0.06643,0.01741,0.04815,0.0588,0.05109,0.1538,0.1595,
2.205,0.1272,0.1269,0.07923,0.03758,0.1996,0.06624,0.0182,0.04764,0.05887,0.05052,0.1552,0.16,
2.204,0.1455,0.1245,0.07927,0.03773,0.2015,0.06606,0.0182,0.04775,0.06092,0.04841,0.1552,0.1604,
2.204,0.1346,0.123,0.07939,0.03782,0.2033,0.06597,0.01828,0.04779,0.06116,0.04872,0.1557,0.1589,
2.204,0.1312,0.1224,0.07956,0.0379,0.2035,0.06563,0.01837,0.0478,0.06255,0.04727,0.1557,0.1593,
2.203,0.1511,0.121,0.07947,0.03801,0.2042,0.06561,0.01819,0.04799,0.06363,0.046,0.1565,0.1595,
2.204,0.1272,0.124,0.07944,0.03806,0.2037,0.06554,0.01826,0.04784,0.0643,0.04616,0.1569,0.1558,
2.204,0.1243,0.1255,0.07945,0.03793,0.2035,0.06485,0.01836,0.04776,0.06539,0.04553,0.1566,0.1552,
2.204,0.1322,0.1246,0.07939,0.03814,0.2036,0.06499,0.01828,0.04779,0.0657,0.04529,0.1567,0.1556,
2.203,0.1436,0.1237,0.07938,0.03824,0.203,0.06505,0.01815,0.0477,0.06648,0.04421,0.1587,0.1553,
2.203,0.1452,0.1236,0.07939,0.03839,0.2028,0.06507,0.01815,0.04772,0.06703,0.0437,0.1588,0.1554,
2.206,0.1346,0.1249,0.07931,0.03854,0.2031,0.06512,0.01833,0.04783,0.06759,0.04432,0.1575,0.1535,
2.208,0.1402,0.1254,0.07948,0.03869,0.203,0.06524,0.01843,0.04767,0.06823,0.04543,0.1559,0.1526,
2.208,0.1508,0.1262,0.07974,0.03858,0.2029,0.065,0.01843,0.04768,0.0686,0.0452,0.1557,0.1519,
2.21,0.1418,0.1269,0.07976,0.03873,0.2033,0.06476,0.01853,0.0477,0.06961,0.04581,0.1541,0.1508,
2.21,0.1695,0.1276,0.07975,0.03887,0.2032,0.06489,0.01843,0.04772,0.07065,0.0453,0.1537,0.1499,
2.212,0.1666,0.1278,0.07973,0.03903,0.2039,0.06457,0.01844,0.04787,0.07083,0.04624,0.1526,0.149,
2.211,0.1663,0.1268,0.07975,0.03913,0.2041,0.06438,0.01834,0.04786,0.07176,0.04529,0.1533,0.1492,
2.21,0.1435,0.1265,0.07951,0.03945,0.2037,0.06429,0.01806,0.04785,0.07247,0.04455,0.1541,0.1495,
2.216,0.1393,0.126,0.07978,0.03953,0.2038,0.0644,0.03244,0.03351,0.07516,0.04175,0.1541,0.1495,
2.214,0.1535,0.125,0.07974,0.03936,0.2038,0.06438,0.03215,0.0335,0.07563,0.04124,0.1548,0.1504,
2.217,0.1436,0.128,0.07974,0.03899,0.2038,0.06361,0.03214,0.03375,0.07621,0.04286,0.1531,0.1478,
2.214,0.139,0.1273,0.07957,0.03871,0.2036,0.0626,0.03212,0.03363,0.07703,0.04193,0.1545,0.1491,
2.214,0.1348,0.1265,0.07969,0.03883,0.2033,0.06191,0.03214,0.03354,0.07744,0.04153,0.1552,0.1499,
2.206,0.1392,0.1292,0.07982,0.03894,0.2033,0.07162,0.02206,0.03353,0.07775,0.04209,0.1551,0.1466,
2.206,0.1352,0.1283,0.07977,0.03877,0.2033,0.07162,0.02215,0.03382,0.07855,0.04177,0.155,0.1469,
2.208,0.1382,0.1256,0.07995,0.0389,0.2048,0.07145,0.02237,0.03384,0.07897,0.0434,0.1536,0.1472,
2.208,0.2022,0.125,0.07991,0.03904,0.2047,0.07168,0.02171,0.07742,0.03572,0.04314,0.1538,0.1479,
2.209,0.2057,0.1235,0.07997,0.0391,0.2048,0.07171,0.02172,0.07745,0.03762,0.04127,0.1546,0.1483,
2.208,0.1462,0.1231,0.08,0.03893,0.2069,0.06989,0.02171,0.07744,0.0383,0.04167,0.155,0.147,
