R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,bead1,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,povaEn,protonEn,solubleMarker,volume,
1.5E-37,0.0093,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3699999.9999999995,0.0,1.6E-5,0.031,0.031,0.0,240.0,8.5,0.0,5.8999999999999995E-24,1.0E-34,0.0,2.5E7,1.0,6.8E8,
1.5E-37,0.0093,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3699999.9999999995,0.0,1.7E-5,0.031,0.031,0.0,240.0,8.5,0.0,8.3E-24,1.6E-34,0.0,2.4E7,1.0,6.8E8,
1.5E-37,0.0093,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3699999.9999999995,0.0,1.7E-5,0.031,0.031,0.0,240.0,8.5,0.0,1.1E-23,2.2E-34,0.0,2.4E7,1.0,6.8E8,
1.5E-37,0.0093,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3699999.9999999995,0.0,1.5E-5,0.031,0.031,0.0,230.0,8.5,0.0,1.5E-23,3.0E-34,0.0,2.5E7,1.0,6.8E8,
1.5E-37,0.0093,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3699999.9999999995,0.0,1.4E-5,0.031,0.031,0.0,230.0,8.5,0.0,2.0E-23,3.6E-34,0.0,2.6E7,1.0,6.8E8,
1.5E-37,0.0093,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3699999.9999999995,0.0,1.2E-5,0.031,0.031,0.0,220.0,8.5,0.0,2.6E-23,4.2E-34,0.0,2.7E7,1.0,6.8E8,
1.5E-37,0.0093,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3699999.9999999995,0.0,1.0E-5,0.031,0.031,0.0,220.0,8.5,0.0,3.2000000000000003E-23,4.6E-34,0.0,2.8E7,1.0,6.8E8,
4.3E-37,0.052,69000.0,20000.0,2300.0,5100000.0,7900.0,1600.0,2100.0,240.0,2500.0,0.19,5200000.0,0.0,7.2E-6,0.058,0.058,0.0,360.0,5.0,0.0,1.0999999999999998E-22,5.6000000000000005E-28,0.0,2.8E7,1.0,7.0E8,
1.5E-37,0.018,870.0,2100.0,2300.0,4800000.0,330.0,1600.0,2100.0,240.0,2500.0,0.19,4900000.0,0.0,8.3E-6,0.046,0.046,0.0,360.0,4.8,0.0,1.0999999999999998E-22,8.6E-29,0.0,2.6E7,1.0,7.0E8,
1.4E-37,0.017,870.0,2100.0,2300.0,4300000.0,330.0,1600.0,2100.0,240.0,2500.0,0.19,4300000.0,0.0,7.9E-6,0.043,0.043,0.0,360.0,4.5,0.0,1.0999999999999998E-22,8.1E-29,0.0,2.6E7,1.0,6.9E8,
