entropyInd,
0.12291,
0.10936,
0.10258,
0.10677,
0.10172,
0.10101,
0.10731,
0.10612,
0.10563,
0.10868,
0.10741,
0.11946,
0.10767,
0.10267,
0.10192,
0.11253,
0.11318,
0.09849,
0.09853,
0.1154,
0.09599,
0.08473,
0.08216,
0.1077,
0.08628,
0.0865,
0.0882,
0.08867,
0.0843,
0.08517,
0.08037,
0.07557,
0.08278,
0.07529,
0.07834,
0.08056,
0.08442,
0.08167,
0.08539,
0.08261,
0.08229,
0.085,
0.09302,
0.08946,
0.09104,
0.09269,
0.09064,
0.09319,
0.09374,
0.09385,
0.09316,
0.11155,
0.09908,
0.08859,
0.09119,
0.09091,
0.10007,
0.08793,
0.08925,
0.09101,
0.08525,
0.08947,
0.10537,
0.08773,
0.08706,
0.08838,
0.08213,
0.07902,
0.08179,
0.08603,
0.08427,
0.11698,
0.09005,
0.10496,
0.09063,
0.08243,
0.07578,
0.07844,
0.07621,
0.07149,
0.07743,
0.06844,
