entropyInd,
0.12291,
0.11169,
0.11175,
0.11119,
0.11166,
0.10742,
0.11508,
0.10396,
0.09953,
0.09899,
0.09603,
0.09677,
0.09956,
0.09706,
0.08262,
0.08726,
0.08633,
0.08467,
0.08511,
0.08542,
0.08475,
0.08537,
0.08665,
0.08918,
0.08678,
0.08685,
0.08953,
0.0856,
0.08523,
0.08823,
0.09655,
0.09083,
0.09078,
0.09325,
0.09453,
0.09214,
0.10727,
0.09735,
0.10313,
0.09949,
0.09945,
0.10927,
0.11162,
0.11531,
0.12259,
0.12771,
0.11581,
0.13194,
0.1102,
0.11253,
0.11564,
0.11536,
0.11119,
0.11269,
0.11187,
0.10058,
0.10005,
0.10017,
0.09987,
0.10239,
0.11311,
0.10703,
0.12971,
0.11046,
0.10677,
0.1147,
0.10565,
0.1139,
0.11591,
0.1152,
0.12012,
0.10728,
0.1169,
0.10996,
0.10843,
0.11083,
0.11662,
0.11718,
0.11238,
0.13734,
0.1194,
0.12305,
