R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
1.6999999999999998E-43,0.0028,6300.0,3800.0,6800.0,4300000.0,3500.0,3100.0,6800.0,2600.0,6400.0,0.084,4400000.0,1.1E-5,0.36,0.36,0.0,400.0,6.2,3.3E-6,4.1E-17,3.2E7,1.0,8.6E8,
6.300000000000001E-44,0.0026,3100.0,2900.0,860.0,4500000.0,5000.0,5500.0,1000.0,380.0,6700.0,0.081,4500000.0,7.2E-6,0.22,0.22,0.0,560.0,3.2,3.9E-6,2.8E-17,3.1E7,1.0,9.0E8,
9.1E-44,0.0028,46000.0,4500.0,610.0,6599999.999999999,4900.0,3100.0,6800.0,4800.0,2100.0,0.085,6599999.999999999,3.0E-6,0.17,0.17,0.0,490.0,3.5,3.5E-6,3.8E-13,3.0E7,1.0,9.0E8,
6.300000000000001E-44,0.0026,3100.0,2900.0,860.0,4500000.0,5000.0,5500.0,1000.0,380.0,6700.0,0.081,4500000.0,7.6E-6,0.22,0.22,0.0,530.0,3.2,3.9E-6,3.1E-17,3.0E7,1.0,9.0E8,
8.8E-44,0.0027,2900.0,4500.0,610.0,6199999.999999999,4900.0,3000.0,6700.0,4700.0,2100.0,0.083,6299999.999999999,9.1E-6,0.16,0.16,0.0,470.0,3.3,3.4E-6,2.0E-13,2.8E7,1.0,8.9E8,
6.300000000000001E-44,0.0026,3100.0,2900.0,860.0,4500000.0,5000.0,5500.0,1000.0,380.0,6700.0,0.081,4500000.0,7.5E-6,0.22,0.22,0.0,490.0,3.2,3.9E-6,3.3E-17,3.0E7,1.0,9.0E8,
8.6E-44,0.0026,2900.0,4500.0,600.0,6099999.999999999,4800.0,3000.0,6700.0,4700.0,2100.0,0.083,6099999.999999999,1.1E-5,0.16,0.16,0.0,450.0,3.3,3.4E-6,7.2E-14,2.6E7,1.0,8.9E8,
6.200000000000001E-44,0.0026,3100.0,2900.0,860.0,4500000.0,5000.0,5500.0,1000.0,380.0,6700.0,0.08,4500000.0,7.2E-6,0.22,0.22,0.0,470.0,3.2,3.9E-6,3.2E-17,3.0E7,1.0,8.9E8,
8.400000000000001E-44,0.0026,2800.0,4400.0,600.0,5899999.999999999,4800.0,3000.0,6600.0,4700.0,2000.0,0.082,5899999.999999999,1.2E-5,0.15,0.15,0.0,400.0,3.1,3.3E-6,3.2E-14,2.5E7,1.0,8.9E8,
6.200000000000001E-44,0.0026,3100.0,2900.0,860.0,4400000.0,4900.0,5500.0,1000.0,380.0,6700.0,0.08,4500000.0,8.5E-6,0.22,0.22,0.0,440.0,3.2,3.9E-6,3.4E-17,2.8E7,1.0,8.8E8,
8.200000000000001E-44,0.0025,2800.0,4400.0,590.0,5600000.0,4700.0,3000.0,6500.0,4600.0,2000.0,0.08,5600000.0,1.3E-5,0.15,0.15,0.0,410.0,3.0,3.3E-6,1.7E-14,2.4E7,1.0,8.9E8,
6.200000000000001E-44,0.0026,3000.0,2900.0,850.0,4400000.0,4900.0,5500.0,1000.0,370.0,6700.0,0.079,4400000.0,8.6E-6,0.22,0.22,0.0,420.0,3.1,3.8E-6,3.7E-17,2.8E7,1.0,8.8E8,
8.000000000000001E-44,0.0025,2800.0,4300.0,580.0,5500000.0,4700.0,2900.0,6500.0,4600.0,2000.0,0.079,5500000.0,1.4E-5,0.15,0.15,0.0,390.0,3.0,3.2E-6,7.5E-15,2.3E7,1.0,8.9E8,
6.200000000000001E-44,0.0026,3000.0,2900.0,850.0,4400000.0,4900.0,5500.0,1000.0,370.0,6700.0,0.079,4400000.0,8.1E-6,0.22,0.22,0.0,380.0,3.1,3.8E-6,3.7E-17,2.8E7,1.0,8.8E8,
7.900000000000001E-44,0.0024,2800.0,4300.0,580.0,5300000.0,4700.0,2900.0,6400.0,4500.0,2000.0,0.078,5300000.0,1.5E-5,0.14,0.14,0.0,360.0,2.8,3.2E-6,3.3E-15,2.2E7,1.0,8.9E8,
6.200000000000001E-44,0.0026,3000.0,2900.0,850.0,4400000.0,4900.0,5500.0,1000.0,370.0,6700.0,0.079,4400000.0,7.2E-6,0.22,0.22,0.0,370.0,3.1,3.8E-6,3.4E-17,3.0E7,1.0,8.8E8,
7.6E-44,0.0023,2700.0,4200.0,570.0,5100000.0,4600.0,2900.0,6300.0,4500.0,2000.0,0.077,5100000.0,1.6E-5,0.14,0.14,0.0,360.0,2.7,3.2E-6,1.5E-15,2.1E7,1.0,8.9E8,
6.200000000000001E-44,0.0026,3000.0,2900.0,850.0,4400000.0,4900.0,5500.0,1000.0,370.0,6700.0,0.079,4400000.0,6.6E-6,0.22,0.22,0.0,350.0,3.1,3.8E-6,3.1E-17,3.0E7,1.0,8.7E8,
7.400000000000001E-44,0.0023,2700.0,4200.0,570.0,4800000.0,4500.0,2800.0,6300.0,4400.0,1900.0,0.076,4800000.0,1.7E-5,0.13,0.13,0.0,360.0,2.6,3.1E-6,8.2E-16,2.1E7,1.0,8.9E8,
1.7E-42,0.035,6800.0,180000.0,4500.0,4900000.0,4900.0,5400.0,1000.0,370.0,6600.0,0.079,5100000.0,1.8E-5,0.4,0.4,0.0,390.0,7.6,3.8E-6,4.9E-12,2.9E7,1.0,8.7E8,
7.100000000000001E-44,0.0022,2700.0,4200.0,560.0,4400000.0,4500.0,2800.0,6300.0,4400.0,1900.0,0.076,4500000.0,1.7E-5,0.13,0.13,0.0,360.0,2.4,3.1E-6,3.8E-16,2.0E7,1.0,8.8E8,
8.499999999999999E-43,0.018,6800.0,87000.0,4500.0,4800000.0,4900.0,5400.0,1000.0,370.0,6600.0,0.078,5000000.0,1.0E-5,0.28,0.28,0.0,390.0,7.4,3.8E-6,1.4E-12,2.8E7,1.0,8.7E8,
