R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,bead1,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,pepEn,pepMHCIEn,povaEn,protonEn,solubleMarker,volume,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,3.8E-5,0.031,0.031,0.0,450.0,8.6,0.0,0.0,0.0,1.9E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,3.7E-5,0.031,0.031,0.0,440.0,8.6,0.0,0.0,0.0,1.9E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,3.8E-5,0.031,0.031,0.0,420.0,8.6,0.0,0.0,0.0,1.9E7,1.0,7.0E8,
7.9E-37,0.063,13000.0,15000.0,26000.0,5100000.0,3900.0,1600.0,2100.0,240.0,2500.0,0.19,5200000.0,0.0,1.5E-4,0.074,0.074,0.0,470.0,33.0,0.0,0.0,0.0,1.9E7,1.0,7.2E8,
5.7E-37,0.045,27.0,2600.0,26000.0,5000000.0,3900.0,1600.0,2000.0,240.0,2500.0,0.19,5100000.0,0.0,1.6E-4,0.063,0.063,0.0,420.0,32.0,4.8E-32,9.2E-43,0.0,1.8E7,1.0,7.2E8,
1.3000000000000001E-37,0.011,27.0,2500.0,360.0,4900000.0,3900.0,1500.0,2000.0,240.0,2500.0,0.19,4900000.0,0.0,3.2E-5,0.061,0.061,0.0,400.0,5.5,3.0000000000000003E-30,1.7E-41,0.0,1.7E7,1.0,7.1E8,
1.2E-37,0.0099,27.0,2500.0,350.0,4300000.0,3800.0,1500.0,2000.0,230.0,2400.0,0.18,4300000.0,0.0,3.1E-5,0.056,0.056,0.0,370.0,4.9,3.1999999999999997E-29,2.9999999999999998E-40,0.0,1.7E7,1.0,7.1E8,
1.2E-37,0.0093,27.0,2500.0,350.0,3999999.9999999995,3800.0,1500.0,2000.0,230.0,2400.0,0.18,3999999.9999999995,0.0,3.0E-5,0.053,0.053,0.0,360.0,4.5,8.1E-29,6.6E-40,0.0,1.6E7,1.0,7.1E8,
7.5E-37,0.054,5600.0,28000.0,4500.0,4600000.0,3700.0,1500.0,2000.0,230.0,2400.0,0.18,4600000.0,0.0,0.65,0.15,0.15,0.0,400.0,8.9,2.1E-27,4.9000000000000003E-32,0.0,1.6E7,1.0,7.2E8,
2.4E-37,0.017,5500.0,3000.0,4500.0,4500000.0,3700.0,1500.0,1900.0,230.0,2400.0,0.18,4500000.0,0.0,6.7E-5,0.11,0.11,0.0,390.0,8.9,3.9E-26,8.7E-33,0.0,1.6E7,1.0,7.2E8,
2.3E-37,0.017,5500.0,3000.0,4500.0,3999999.9999999995,3700.0,1500.0,1900.0,230.0,2400.0,0.18,4099999.9999999995,0.0,6.6E-5,0.1,0.1,0.0,390.0,8.5,2.1999999999999997E-25,4.6000000000000004E-33,0.0,1.6E7,1.0,7.1E8,
2.2E-36,0.15,10000.0,120000.0,19000.0,4500000.0,3700.0,1500.0,1900.0,220.0,2400.0,0.18,4700000.0,0.0,1.2E-4,0.17,0.17,0.0,390.0,15.0,1.2999999999999998E-24,1.2E-32,0.0,1.6E7,1.0,7.2E8,
1.3000000000000001E-37,0.0091,2900.0,2100.0,1900.0,4500000.0,3700.0,1500.0,1900.0,220.0,2400.0,0.18,4500000.0,0.0,6.5E-6,0.063,0.063,0.0,390.0,3.8,2.9999999999999996E-24,4.0E-34,0.0,1.5E7,1.0,7.2E8,
1.3000000000000001E-37,0.0087,2900.0,2100.0,1900.0,4099999.9999999995,3700.0,1500.0,1900.0,220.0,2300.0,0.18,4099999.9999999995,0.0,3.0E-5,0.06,0.06,0.0,400.0,3.6,5.5E-24,2.7E-34,0.0,1.5E7,1.0,7.1E8,
1.2E-37,0.0085,2900.0,2100.0,1900.0,3899999.9999999995,3700.0,1500.0,1900.0,220.0,2300.0,0.18,3899999.9999999995,0.0,2.9E-5,0.058,0.058,0.0,390.0,3.5,1.1E-23,3.0E-34,0.0,1.5E7,1.0,7.1E8,
1.2E-37,0.0084,2900.0,2100.0,1900.0,3799999.9999999995,3700.0,1500.0,1900.0,220.0,2300.0,0.18,3799999.9999999995,0.0,2.8E-5,0.057,0.057,0.0,390.0,3.4,2.6E-23,6.2000000000000004E-34,0.0,1.5E7,1.0,7.1E8,
1.2E-37,0.0084,2900.0,2100.0,1900.0,3799999.9999999995,3700.0,1500.0,1900.0,220.0,2300.0,0.18,3799999.9999999995,0.0,2.5E-5,0.057,0.057,0.0,390.0,3.4,4.9E-23,1.2E-33,0.0,1.6E7,1.0,7.1E8,
1.2E-37,0.0084,2900.0,2100.0,1900.0,3799999.9999999995,3700.0,1500.0,1900.0,220.0,2300.0,0.18,3799999.9999999995,0.0,2.1E-5,0.057,0.057,0.0,390.0,3.4,8.1E-23,1.9E-33,0.0,1.7E7,1.0,7.1E8,
1.1E-37,0.012,2300.0,2800.0,1800.0,4300000.0,3700.0,1500.0,1900.0,220.0,2300.0,0.18,4300000.0,0.0,0.2,0.054,0.054,0.0,390.0,7.1,2.7E-21,7.9E-27,0.026,1.7E7,1.0,7.1E8,
1.0E-37,0.011,2300.0,2800.0,1800.0,3799999.9999999995,3700.0,1500.0,1900.0,220.0,2300.0,0.17,3799999.9999999995,0.0,4.0E-5,0.05,0.05,0.0,400.0,6.7,2.7E-21,4.1E-27,0.026,1.7E7,1.0,7.0E8,
1.0E-37,0.011,2300.0,2800.0,1800.0,3799999.9999999995,3700.0,1500.0,1900.0,220.0,2300.0,0.17,3799999.9999999995,0.0,3.9E-5,0.05,0.05,0.0,400.0,6.7,2.8E-21,1.2E-27,0.026,1.7E7,1.0,7.0E8,
1.0E-37,0.011,2300.0,2800.0,1800.0,3799999.9999999995,3700.0,1500.0,1900.0,220.0,2300.0,0.17,3799999.9999999995,0.0,3.5E-5,0.05,0.05,0.0,380.0,6.7,2.9E-21,3.7E-28,0.026,1.8E7,1.0,7.0E8,
1.0E-37,0.011,2300.0,2800.0,1800.0,3799999.9999999995,3700.0,1500.0,1900.0,220.0,2300.0,0.17,3799999.9999999995,0.0,3.0E-5,0.05,0.05,0.0,380.0,6.7,3.0E-21,1.1000000000000002E-28,0.026,1.9E7,1.0,7.0E8,
1.0E-37,0.011,2300.0,2800.0,1800.0,3799999.9999999995,3700.0,1500.0,1900.0,220.0,2300.0,0.17,3799999.9999999995,0.0,2.5E-5,0.05,0.05,0.0,380.0,6.7,3.1E-21,3.4E-29,0.026,2.0E7,1.0,7.0E8,
1.0E-37,0.011,2300.0,2800.0,1800.0,3799999.9999999995,3700.0,1500.0,1900.0,220.0,2300.0,0.17,3799999.9999999995,0.0,2.0E-5,0.05,0.05,0.0,380.0,6.7,3.3E-21,1.0E-29,0.026,2.1E7,1.0,7.0E8,
1.0E-37,0.011,2300.0,2800.0,1800.0,3799999.9999999995,3700.0,1500.0,1900.0,220.0,2300.0,0.17,3799999.9999999995,0.0,1.7E-5,0.05,0.05,0.0,380.0,6.7,3.5E-21,3.2E-30,0.026,2.3E7,1.0,7.0E8,
1.0E-37,0.011,2300.0,2800.0,1800.0,3799999.9999999995,3700.0,1500.0,1900.0,220.0,2300.0,0.17,3799999.9999999995,0.0,1.4E-5,0.05,0.05,0.0,380.0,6.7,3.6E-21,1.0E-30,0.026,2.5E7,1.0,7.0E8,
1.0E-37,0.011,2300.0,2800.0,1800.0,3799999.9999999995,3700.0,1500.0,1900.0,220.0,2300.0,0.17,3799999.9999999995,0.0,1.2E-5,0.05,0.05,0.0,380.0,6.7,3.8E-21,3.5E-31,0.026,2.6E7,1.0,7.0E8,
1.0E-37,0.011,2300.0,2800.0,1800.0,3799999.9999999995,3700.0,1500.0,1900.0,220.0,2300.0,0.17,3799999.9999999995,0.0,1.5E-5,0.05,0.05,0.0,380.0,6.7,4.0E-21,1.5999999999999999E-31,0.026,2.4E7,1.0,7.0E8,
7.7E-37,0.062,31000.0,38000.0,5200.0,4500000.0,3700.0,1500.0,1900.0,220.0,2300.0,0.18,4600000.0,0.0,1.1,0.13,0.13,0.0,400.0,8.2,2.3E-20,3.1999999999999997E-25,0.027,2.4E7,1.0,7.1E8,
2.3E-37,0.019,3800.0,4900.0,5200.0,4400000.0,3700.0,1500.0,1900.0,220.0,2300.0,0.18,4400000.0,0.0,2.5E-5,0.086,0.086,0.0,390.0,9.2,2.4E-20,4.4E-26,0.027,2.3E7,1.0,7.1E8,
2.3E-37,0.019,3800.0,4900.0,5200.0,4300000.0,3700.0,1500.0,1900.0,220.0,2300.0,0.18,4400000.0,0.0,2.9E-5,0.085,0.085,0.0,390.0,9.1,2.4E-20,1.6E-26,0.027,2.1E7,1.0,7.1E8,
2.3E-37,0.019,3800.0,4900.0,5200.0,4099999.9999999995,3700.0,1500.0,1900.0,220.0,2300.0,0.18,4099999.9999999995,0.0,3.3E-5,0.082,0.082,0.0,390.0,8.9,2.4E-20,5.9000000000000005E-27,0.027,2.0E7,1.0,7.1E8,
2.3E-37,0.018,3800.0,4900.0,5200.0,3799999.9999999995,3700.0,1500.0,1900.0,220.0,2300.0,0.18,3799999.9999999995,0.0,3.5E-5,0.079,0.079,0.0,390.0,8.6,2.4E-20,3.2000000000000003E-27,0.027,2.0E7,1.0,7.1E8,
2.3E-37,0.018,3800.0,4900.0,5200.0,3799999.9999999995,3700.0,1500.0,1900.0,220.0,2300.0,0.18,3799999.9999999995,0.0,3.7E-5,0.079,0.079,0.0,380.0,8.6,2.5E-20,9.5E-28,0.027,1.9E7,1.0,7.1E8,
2.3E-37,0.018,3800.0,4900.0,5200.0,3799999.9999999995,3700.0,1500.0,1900.0,220.0,2300.0,0.17,3799999.9999999995,0.0,3.6E-5,0.079,0.079,0.0,380.0,8.6,2.5E-20,2.9E-28,0.027,1.9E7,1.0,7.0E8,
2.2E-37,0.018,3800.0,4900.0,5200.0,3799999.9999999995,3700.0,1500.0,1900.0,220.0,2300.0,0.17,3799999.9999999995,0.0,3.9E-5,0.079,0.079,0.0,370.0,8.6,2.5E-20,1.1000000000000002E-28,0.027,1.8E7,1.0,7.0E8,
